"","x"
"1","Abietinella abietina"
"2","Achillea millefolium"
"3","Agrostis"
"4","Agrostis anadyrensis"
"5","Agrostis mertensii"
"6","Agrostis nebulosa"
"7","Agrostis scabra"
"8","Agrostis tolucensis"
"9","Allium schoenoprasum"
"10","Aloina brevirostris"
"11","Aloina rigida var. rigida"
"12","Alopecurus"
"13","Alopecurus magellanicus"
"14","Amaranthus retroflexus"
"15","Amblyodon dealbatus"
"16","Amblystegium serpens"
"17","Amerorchis rotundifolia"
"18","Amphidium lapponicum"
"19","Amphidium mougeotii"
"20","Andreaea blyttii"
"21","Andreaea obovata"
"22","Andreaea rupestris"
"23","Andromeda polifolia var. polifolia"
"24","Androsace chamaejasme subsp. lehmanniana"
"25","Androsace septentrionalis"
"26","Anomobryum julaceum"
"27","Antennaria alpina"
"28","Antennaria friesiana subsp. friesiana"
"29","Antennaria microphylla"
"30","Antennaria monocephala subsp. angustata"
"31","Antennaria rosea subsp. confinis"
"32","Antennaria rosea subsp. pulvinata"
"33","Anthoxanthum"
"34","Anthoxanthum arcticum"
"35","Anthoxanthum hirtum"
"36","Anthoxanthum monticola"
"37","Anthoxanthum monticola subsp. alpinum"
"38","Anthoxanthum monticola subsp. monticola"
"39","Anthoxanthum nitens"
"40","Anthoxanthum occidentale"
"41","Aplodon wormskioldii"
"42","Arabidopsis arenicola"
"43","Arabis alpina"
"44","Arctagrostis"
"45","Arctagrostis latifolia"
"46","Arctagrostis latifolia subsp. arundinacea"
"47","Arctagrostis latifolia subsp. latifolia"
"48","Arctanthemum arcticum subsp. polare"
"49","Arctophila"
"50","Arctophila fulva"
