"","Taxon family","Taxon name"
"Abietinella abietina","Thuidiaceae","Abietinella abietina"
"Achillea millefolium","Asteraceae","Achillea millefolium"
"Agrostis","Poaceae","Agrostis"
"Agrostis anadyrensis","Poaceae","Agrostis anadyrensis"
"Agrostis mertensii","Poaceae","Agrostis mertensii"
"Agrostis nebulosa","Poaceae","Agrostis nebulosa"
"Agrostis scabra","Poaceae","Agrostis scabra"
"Agrostis tolucensis","Poaceae","Agrostis tolucensis"
"Allium schoenoprasum","Liliaceae","Allium schoenoprasum"
"Aloina brevirostris","Pottiaceae","Aloina brevirostris"
"Aloina rigida var rigida","Pottiaceae","Aloina rigida var rigida"
"Alopecurus","Poaceae","Alopecurus"
"Alopecurus magellanicus","Poaceae","Alopecurus magellanicus"
"Amaranthus retroflexus","Amaranthaceae","Amaranthus retroflexus"
"Amblyodon dealbatus","Meesiaceae","Amblyodon dealbatus"
"Amblystegium serpens","Amblystegiaceae","Amblystegium serpens"
"Amerorchis rotundifolia","Orchidaceae","Amerorchis rotundifolia"
"Amphidium lapponicum","Orthotrichaceae","Amphidium lapponicum"
"Amphidium mougeotii","Orthotrichaceae","Amphidium mougeotii"
"Andreaea blyttii","Andreaeaceae","Andreaea blyttii"
"Andreaea obovata","Andreaeaceae","Andreaea obovata"
"Andreaea rupestris","Andreaeaceae","Andreaea rupestris"
"Andromeda polifolia var polifolia","Ericaceae","Andromeda polifolia var polifolia"
"Androsace chamaejasme subsp lehmanniana","Primulaceae","Androsace chamaejasme subsp lehmanniana"
"Androsace septentrionalis","Primulaceae","Androsace septentrionalis"
"Anomobryum julaceum","Bryaceae","Anomobryum julaceum"
"Antennaria alpina","Asteraceae","Antennaria alpina"
"Antennaria friesiana subsp friesiana","Asteraceae","Antennaria friesiana subsp friesiana"
"Antennaria microphylla","Asteraceae","Antennaria microphylla"
"Antennaria monocephala subsp angustata","Asteraceae","Antennaria monocephala subsp angustata"
"Antennaria rosea subsp confinis","Asteraceae","Antennaria rosea subsp confinis"
"Antennaria rosea subsp pulvinata","Asteraceae","Antennaria rosea subsp pulvinata"
"Anthoxanthum","Poaceae","Anthoxanthum"
"Anthoxanthum arcticum","Poaceae","Anthoxanthum arcticum"
"Anthoxanthum hirtum","Poaceae","Anthoxanthum hirtum"
"Anthoxanthum monticola","Poaceae","Anthoxanthum monticola"
"Anthoxanthum monticola subsp alpinum","Poaceae","Anthoxanthum monticola subsp alpinum"
"Anthoxanthum monticola subsp monticola","Poaceae","Anthoxanthum monticola subsp monticola"
"Anthoxanthum nitens","Poaceae","Anthoxanthum nitens"
"Anthoxanthum occidentale","Poaceae","Anthoxanthum occidentale"
"Aplodon wormskioldii","Splachnaceae","Aplodon wormskioldii"
"Arabidopsis arenicola","Brassicaceae","Arabidopsis arenicola"
"Arabis alpina","Brassicaceae","Arabis alpina"
"Arctagrostis","Poaceae","Arctagrostis"
"Arctagrostis latifolia","Poaceae","Arctagrostis latifolia"
"Arctagrostis latifolia subsp arundinacea","Poaceae","Arctagrostis latifolia subsp arundinacea"
"Arctagrostis latifolia subsp latifolia","Poaceae","Arctagrostis latifolia subsp latifolia"
"Arctanthemum arcticum subsp polare","Asteraceae","Arctanthemum arcticum subsp polare"
"Arctophila","Poaceae","Arctophila"
"Arctophila fulva","Poaceae","Arctophila fulva"
